"","phenotype","mean","sd","Test.Model","True.Model","MAF","Power","ES","R2","ES_AB","ES_BB","N_total_at_Alpha_5e-08"
"1","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.01,0.8,0.65,0.000458827847752015,0.65,1.3,86289.2327364373
"2","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.02,0.8,0.65,0.000908386446054495,0.65,1.3,43575.0660973282
"3","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.03,0.8,0.65,0.00134867579490744,0.65,1.3,29343.06254261
"4","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.04,0.8,0.65,0.00177969589431085,0.65,1.3,22231.741647579
"5","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.05,0.8,0.65,0.00220144674426472,0.65,1.3,17968.8121059578
"6","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.06,0.8,0.65,0.00261392834476906,0.65,1.3,15130.1810096794
"7","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.07,0.8,0.65,0.00301714069582386,0.65,1.3,13105.5266149079
"8","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.08,0.8,0.65,0.00341108379742912,0.65,1.3,11589.6915445071
"9","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.09,0.8,0.65,0.00379575764958485,0.65,1.3,10413.1471994741
"10","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.1,0.8,0.65,0.00417116225229105,0.65,1.3,9474.17953370057
"11","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.11,0.8,0.65,0.00453729760554771,0.65,1.3,8708.0644162192
"12","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.12,0.8,0.65,0.00489416370935483,0.65,1.3,8071.65532225936
"13","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.13,0.8,0.65,0.00524176056371242,0.65,1.3,7535.08440756034
"14","smri_vol_scs_3rdventricle_ROC0_2",2.05156530063794,4.26993306757487,"Additive","Additive",0.14,0.8,0.65,0.00558008816862047,0.65,1.3,7077.02027506859
